檔名,總封數,總張數
0613CKNL-3c.txt,1,96
0613CKNL-3d.txt,1,306
0613CKNL-3e.txt,1,129
0613CKNP.txt,1640,2999
0613CKSP-1.txt,200000,359853
0613CKSP-2.txt,200000,359353
0613CKSP-3.txt,84179,146996
0613CKSP-51.txt,1,1
0613CKSP-52.txt,1,1
0613CKSP-6.txt,26,26
